Production_Unit_Id,%_detected_defects_by_QA
P000,30.820215410107703
P001,26.11764705882353
P002,24.911312573906187
P003,23.950617283950617
P004,26.447326795317938
P006,32.914572864321606
P007,23.749066467513067
P008,31.986242476354253
P009,23.642408570373107
P012,19.234360410831002
P014,24.50476889214967
P020,28.30820770519263
P022,26.025791324736225
P024,29.86666666666667
P030,33.8907469342252
P031,31.73758865248227
P041,21.689895470383274
P043,25.130602144624692
P044,22.755651237890202
P046,25.381226702812604
P047,34.74784747847479
P053,34.0983606557377
P058,34.53931500241196
P061,45.242480049109886
P062,10.29986962190352
P063,37.22163308589608
P064,24.58471760797342
P065,28.186813186813186
P066,36.74785100286533
P068,16.599462365591396
P069,22.533206831119546
P071,32.00740055504163
P073,32.129277566539926
P076,20.48780487804878
P077,61.74242424242424
P082,25.824561403508774
P085,26.39165009940358
P088,20.918984280532044
P089,25.63912560207484
P092,17.147435897435898
P094,37.45874587458746
P096,18.04979253112033
P100,24.277456647398843
P102,51.307484220018026
P103,23.05699481865285
P104,39.45546838947854
P105,15.544794188861985
P108,26.856240126382307
P111,25.737051792828687
P112,30.680240629338268
P113,28.81219903691814
P116,15.62224183583407
P117,19.68400263331139
P118,21.08626198083067
P121,24.76566354218056
P125,24.77906186267845
P126,26.491092176607285
P127,33.102826217678896
P128,42.374213836477985
P129,11.75584024114544
P132,35.197174808711004
P133,15.781990521327014
P134,19.421793921423276
P135,15.301587301587302
P136,27.757125154894673
P139,29.528301886792452
P142,29.05384849406754
P143,31.590413943355124
P144,35.738831615120276
P145,28.064764841942946
P146,30.81947743467934
P149,8.946171341925702
P151,78.99408284023669
P152,39.00335409678965
P155,17.88036410923277
P156,24.451097804391217
P157,33.24817518248175
P159,31.705979155238616
P160,22.88422477995938
P161,22.386953298739805
P163,29.166666666666668
P167,31.192052980132452
P169,36.05546995377504
P170,16.065573770491802
P173,26.402349486049925
P175,18.660287081339714
P179,29.292929292929294
P180,32.926829268292686
P182,30.121894045944682
P184,12.863705972434916
P185,30.938320209973753
P186,12.961443806398687
P187,20.278833967046893
P188,19.91182953710507
